state,gender,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
AK,F,12.0,6.0,,5.0,8.0,5.0,6.0,,5.0,6.0,6.0,9.0,6.0,10.0,5.0,5.0,,7.0,13.0,,,11.0,8.0,,,,,7.0,8.0,,12.0,7.0,5.0,,7.0,8.0,5.0,7.0,14.0,13.0,,,8.0,,5.0,,,,6.0,,,5.0,7.0,5.0,10.0,5.0,,,,6.0,,,,,,,,,7.0,6.0,,8.0,6.0,8.0,5.0,9.0,,,,6.0,,,5.0,,,5.0,6.0,5.0,8.0,,,6.0,,,,5.0,,,,,5.0,,,6.0,,,,5.0,
AL,F,482.0,380.0,539.0,543.0,617.0,709.0,772.0,732.0,858.0,922.0,965.0,957.0,1020.0,952.0,1006.0,1053.0,972.0,950.0,934.0,891.0,815.0,756.0,806.0,762.0,786.0,785.0,734.0,667.0,731.0,655.0,655.0,602.0,615.0,614.0,570.0,589.0,524.0,562.0,537.0,494.0,514.0,446.0,393.0,352.0,308.0,252.0,246.0,220.0,185.0,184.0,183.0,144.0,107.0,110.0,95.0,91.0,82.0,79.0,65.0,56.0,42.0,39.0,34.0,25.0,23.0,17.0,24.0,22.0,15.0,24.0,24.0,28.0,19.0,21.0,12.0,25.0,18.0,10.0,13.0,12.0,10.0,,10.0,8.0,12.0,9.0,10.0,16.0,19.0,27.0,19.0,15.0,18.0,14.0,9.0,11.0,11.0,17.0,15.0,15.0,17.0,11.0,14.0,14.0,12.0,22.0,20.0,25.0,21.0
AL,M,,,,,,,,,,6.0,6.0,5.0,5.0,6.0,7.0,12.0,5.0,8.0,8.0,5.0,10.0,8.0,7.0,,8.0,7.0,,9.0,,7.0,,7.0,6.0,,,,5.0,,,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AR,F,84.0,90.0,101.0,100.0,129.0,141.0,170.0,170.0,178.0,178.0,184.0,197.0,223.0,166.0,199.0,205.0,185.0,199.0,150.0,140.0,136.0,137.0,130.0,129.0,126.0,117.0,120.0,134.0,118.0,112.0,96.0,116.0,123.0,111.0,89.0,97.0,84.0,88.0,84.0,85.0,85.0,97.0,90.0,74.0,58.0,61.0,59.0,35.0,27.0,38.0,19.0,27.0,16.0,27.0,16.0,19.0,7.0,17.0,8.0,6.0,6.0,6.0,10.0,6.0,5.0,,6.0,,11.0,10.0,5.0,8.0,6.0,,,7.0,8.0,,7.0,6.0,,6.0,,5.0,,12.0,8.0,12.0,5.0,7.0,6.0,13.0,9.0,9.0,10.0,7.0,6.0,12.0,6.0,5.0,9.0,11.0,7.0,11.0,12.0,12.0,13.0,8.0,8.0
AZ,F,8.0,,11.0,8.0,,10.0,9.0,15.0,15.0,12.0,17.0,19.0,10.0,12.0,17.0,17.0,24.0,31.0,21.0,21.0,23.0,22.0,20.0,21.0,10.0,16.0,24.0,30.0,19.0,24.0,14.0,21.0,17.0,34.0,12.0,20.0,14.0,14.0,13.0,15.0,8.0,12.0,11.0,15.0,11.0,16.0,15.0,13.0,19.0,13.0,8.0,7.0,12.0,10.0,5.0,6.0,8.0,,,,6.0,,,8.0,,7.0,7.0,5.0,7.0,8.0,8.0,7.0,13.0,13.0,9.0,12.0,12.0,6.0,9.0,6.0,15.0,11.0,,10.0,8.0,12.0,21.0,15.0,17.0,9.0,15.0,19.0,18.0,13.0,11.0,15.0,17.0,20.0,17.0,17.0,18.0,13.0,12.0,13.0,17.0,24.0,14.0,16.0,12.0
CA,F,17.0,15.0,16.0,25.0,28.0,59.0,42.0,38.0,54.0,45.0,66.0,79.0,64.0,71.0,78.0,72.0,74.0,67.0,62.0,68.0,79.0,55.0,47.0,59.0,50.0,39.0,39.0,34.0,42.0,32.0,49.0,34.0,33.0,45.0,40.0,50.0,38.0,40.0,43.0,44.0,37.0,52.0,59.0,49.0,53.0,41.0,55.0,53.0,57.0,50.0,43.0,54.0,61.0,43.0,51.0,29.0,38.0,42.0,32.0,40.0,45.0,42.0,36.0,27.0,36.0,44.0,41.0,40.0,67.0,114.0,112.0,106.0,157.0,122.0,125.0,142.0,117.0,120.0,131.0,151.0,140.0,146.0,139.0,155.0,143.0,163.0,163.0,148.0,143.0,127.0,179.0,134.0,149.0,147.0,132.0,117.0,124.0,106.0,108.0,121.0,114.0,113.0,127.0,137.0,168.0,125.0,151.0,157.0,114.0
CO,F,6.0,9.0,7.0,18.0,10.0,10.0,12.0,17.0,19.0,16.0,26.0,14.0,26.0,18.0,23.0,22.0,15.0,15.0,19.0,19.0,19.0,13.0,5.0,8.0,12.0,,8.0,11.0,9.0,6.0,7.0,5.0,11.0,8.0,8.0,,,,6.0,9.0,5.0,6.0,,,5.0,,,,,6.0,5.0,8.0,7.0,5.0,,,5.0,7.0,,,6.0,8.0,,,,9.0,7.0,9.0,8.0,13.0,21.0,15.0,12.0,12.0,15.0,14.0,8.0,14.0,8.0,8.0,7.0,14.0,13.0,19.0,15.0,21.0,16.0,10.0,16.0,17.0,21.0,18.0,10.0,17.0,17.0,12.0,10.0,10.0,20.0,15.0,11.0,16.0,17.0,16.0,16.0,22.0,19.0,17.0,14.0
CT,F,6.0,,,7.0,8.0,5.0,16.0,12.0,24.0,15.0,18.0,19.0,14.0,10.0,10.0,13.0,8.0,10.0,6.0,8.0,9.0,5.0,,,5.0,,,,,,5.0,,,,,,,,,,6.0,5.0,,,,,8.0,5.0,,6.0,6.0,6.0,8.0,,,,,,,7.0,6.0,7.0,5.0,7.0,,,,,,5.0,7.0,5.0,8.0,,,5.0,6.0,10.0,5.0,6.0,11.0,,8.0,13.0,9.0,13.0,17.0,5.0,10.0,10.0,13.0,9.0,12.0,8.0,7.0,,,10.0,7.0,,6.0,11.0,,7.0,6.0,13.0,,6.0,15.0
DC,F,5.0,9.0,10.0,9.0,5.0,10.0,8.0,9.0,14.0,16.0,11.0,13.0,11.0,16.0,19.0,12.0,15.0,16.0,16.0,15.0,16.0,13.0,13.0,9.0,13.0,9.0,13.0,12.0,11.0,9.0,13.0,13.0,15.0,12.0,9.0,15.0,9.0,8.0,12.0,14.0,9.0,11.0,8.0,14.0,6.0,7.0,9.0,11.0,10.0,6.0,6.0,,,,,7.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,,,5.0,,,,5.0,,,,5.0,,,,,,,,,,8.0,,,,,
DE,F,,,5.0,,,,,,,,,,,,,,,,,,,,,,,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,
