state,gender,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
AK,F,14.0,12.0,9.0,21.0,22.0,23.0,18.0,21.0,27.0,22.0,38.0,36.0,29.0,26.0,41.0,24.0,39.0,30.0,27.0,25.0,35.0,41.0,26.0,25.0,31.0,29.0,34.0,41.0,36.0,28.0,43.0,41.0,44.0,46.0,42.0,47.0,47.0,63.0,71.0,79.0,71.0,77.0,75.0,81.0,92.0,91.0,95.0,99.0,84.0,61.0,78.0,80.0,86.0,78.0,84.0,68.0,67.0,59.0,36.0,51.0,47.0,46.0,31.0,29.0,35.0,29.0,23.0,26.0,29.0,25.0,38.0,32.0,29.0,36.0,31.0,42.0,27.0,32.0,28.0,29.0,27.0,31.0,21.0,26.0,21.0,31.0,14.0,25.0,19.0,19.0,18.0,16.0,16.0,9.0,11.0,18.0,9.0,12.0,12.0,6.0,15.0,15.0,15.0,14.0,7.0,8.0,11.0,5.0,6.0
AL,F,875.0,804.0,1041.0,1125.0,1429.0,1552.0,1722.0,1825.0,1914.0,2222.0,2360.0,2316.0,2383.0,2419.0,2597.0,2695.0,2532.0,2613.0,2501.0,2341.0,2398.0,2273.0,2338.0,2108.0,2287.0,2214.0,2016.0,2155.0,2192.0,2075.0,2076.0,2099.0,2354.0,2306.0,2080.0,2081.0,2106.0,2116.0,2074.0,1975.0,1840.0,1707.0,1717.0,1501.0,1453.0,1354.0,1246.0,1224.0,1042.0,1049.0,981.0,931.0,821.0,781.0,800.0,715.0,645.0,590.0,496.0,465.0,455.0,444.0,361.0,320.0,339.0,254.0,290.0,268.0,291.0,253.0,320.0,298.0,315.0,282.0,266.0,274.0,240.0,246.0,275.0,257.0,294.0,266.0,259.0,243.0,284.0,282.0,276.0,264.0,243.0,269.0,261.0,234.0,265.0,204.0,204.0,221.0,150.0,191.0,183.0,144.0,147.0,138.0,123.0,127.0,112.0,120.0,126.0,128.0,127.0
AL,M,8.0,6.0,11.0,6.0,,5.0,7.0,7.0,12.0,14.0,6.0,13.0,8.0,10.0,8.0,11.0,14.0,16.0,14.0,15.0,17.0,26.0,21.0,18.0,18.0,16.0,17.0,14.0,15.0,10.0,12.0,16.0,15.0,8.0,9.0,5.0,6.0,7.0,,5.0,8.0,5.0,7.0,5.0,7.0,7.0,,,5.0,7.0,,5.0,,6.0,6.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AR,F,408.0,386.0,491.0,527.0,645.0,837.0,904.0,957.0,1048.0,1101.0,1206.0,1190.0,1283.0,1257.0,1364.0,1400.0,1321.0,1343.0,1173.0,1239.0,1321.0,1174.0,1249.0,1149.0,1212.0,1228.0,1087.0,1148.0,1159.0,1111.0,1190.0,1224.0,1208.0,1225.0,1114.0,971.0,1074.0,1188.0,1131.0,1017.0,975.0,893.0,841.0,763.0,719.0,680.0,642.0,669.0,551.0,502.0,478.0,441.0,438.0,389.0,379.0,339.0,295.0,255.0,210.0,195.0,228.0,177.0,183.0,139.0,165.0,149.0,120.0,145.0,132.0,120.0,140.0,133.0,123.0,130.0,121.0,131.0,119.0,97.0,128.0,112.0,95.0,119.0,89.0,92.0,95.0,96.0,69.0,97.0,86.0,87.0,85.0,88.0,100.0,79.0,86.0,68.0,57.0,54.0,39.0,44.0,45.0,33.0,34.0,46.0,34.0,33.0,33.0,30.0,38.0
AR,M,,,,,,,5.0,,5.0,,,6.0,,5.0,,5.0,6.0,5.0,5.0,10.0,,10.0,,7.0,12.0,6.0,6.0,7.0,5.0,7.0,9.0,9.0,5.0,7.0,6.0,,,6.0,,,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AZ,F,74.0,67.0,100.0,103.0,133.0,158.0,191.0,218.0,272.0,289.0,281.0,266.0,252.0,272.0,281.0,293.0,301.0,310.0,283.0,303.0,286.0,298.0,288.0,265.0,286.0,310.0,298.0,355.0,333.0,347.0,319.0,349.0,353.0,431.0,383.0,366.0,385.0,425.0,442.0,412.0,415.0,439.0,469.0,496.0,464.0,490.0,450.0,475.0,458.0,422.0,410.0,377.0,360.0,328.0,368.0,278.0,246.0,220.0,195.0,181.0,169.0,141.0,122.0,151.0,117.0,106.0,107.0,111.0,115.0,95.0,121.0,112.0,108.0,103.0,82.0,90.0,90.0,95.0,113.0,86.0,89.0,98.0,99.0,106.0,76.0,101.0,90.0,84.0,83.0,78.0,63.0,56.0,64.0,55.0,54.0,41.0,66.0,45.0,54.0,36.0,43.0,27.0,33.0,33.0,31.0,28.0,36.0,26.0,23.0
AZ,M,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CA,F,295.0,390.0,534.0,584.0,773.0,998.0,1091.0,1149.0,1251.0,1205.0,1554.0,1697.0,1733.0,1829.0,1958.0,1890.0,1721.0,1816.0,1787.0,1717.0,1848.0,1627.0,1498.0,1470.0,1590.0,1484.0,1541.0,1712.0,1875.0,1698.0,1821.0,1952.0,2440.0,2928.0,2975.0,3019.0,3147.0,3460.0,3425.0,3219.0,3131.0,3187.0,3421.0,3398.0,3716.0,3393.0,3412.0,3463.0,3158.0,3193.0,3104.0,2716.0,2755.0,2610.0,2710.0,2239.0,1853.0,1621.0,1448.0,1344.0,1277.0,1056.0,928.0,796.0,742.0,729.0,721.0,709.0,701.0,807.0,832.0,845.0,837.0,752.0,754.0,706.0,671.0,649.0,707.0,682.0,678.0,723.0,706.0,639.0,567.0,550.0,500.0,446.0,428.0,438.0,416.0,381.0,339.0,303.0,293.0,282.0,270.0,240.0,220.0,202.0,177.0,201.0,167.0,193.0,175.0,179.0,145.0,153.0,148.0
CA,M,,,,,,5.0,,5.0,9.0,6.0,5.0,,6.0,7.0,9.0,8.0,13.0,11.0,12.0,14.0,15.0,13.0,10.0,10.0,6.0,11.0,13.0,10.0,6.0,7.0,9.0,15.0,12.0,10.0,8.0,13.0,9.0,12.0,5.0,11.0,,,,,7.0,5.0,9.0,11.0,5.0,,8.0,8.0,13.0,10.0,8.0,7.0,8.0,15.0,7.0,10.0,7.0,6.0,,,,,,,6.0,6.0,,,5.0,7.0,9.0,6.0,,10.0,7.0,7.0,9.0,9.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
CO,F,193.0,169.0,234.0,258.0,338.0,387.0,457.0,462.0,539.0,472.0,576.0,627.0,612.0,626.0,551.0,533.0,542.0,512.0,539.0,522.0,515.0,511.0,496.0,469.0,510.0,471.0,487.0,528.0,458.0,476.0,486.0,474.0,500.0,534.0,522.0,476.0,553.0,618.0,583.0,559.0,548.0,575.0,562.0,574.0,557.0,498.0,567.0,474.0,462.0,448.0,438.0,418.0,343.0,347.0,354.0,293.0,241.0,219.0,161.0,171.0,173.0,157.0,118.0,105.0,111.0,112.0,122.0,96.0,110.0,113.0,106.0,125.0,127.0,114.0,119.0,119.0,98.0,111.0,97.0,102.0,75.0,91.0,76.0,75.0,76.0,79.0,92.0,89.0,79.0,87.0,90.0,70.0,57.0,75.0,82.0,49.0,61.0,39.0,50.0,44.0,30.0,34.0,32.0,40.0,38.0,33.0,45.0,31.0,32.0
